Description,Price,Sqr Ft,Longitude,Latitude,Beds,Bath,Year Built,Address,City,State,Zipcode
" The property is located at 6194 PAINT MARE LANE JACKSONVILLE FL 32234 priced at 212010, the square foot and stories are 1862, 1.The number of bath is 2, halfbath is 0 there are 4 bedrooms and 2 garages. For more details please, call or email. ","$211,990 ","1,862 sqft",-81.95708,30.20811,4,2,," 6194 Paint Mare Ln Jacksonville, FL 32234 ",Jacksonville,FL,32234
" Investor and homebuyer opportunity! This property is being offered at a live auction on 01-30-2020. Buy it as an investment or enjoy it as your own home. Visit Auction.com to find out where and when the auction will take place. Also, view additional photos, sales comps, rental data, title info, neighborhood reports and more. Auction.com is the nation's leading online real estate marketplace offering over 30,000 discounted residential bank-owned and foreclosure deals. Don't miss the opportunity to buy homes that offer the potential for a high return on investment. In addition to this property, Auction.com has 246 scheduled for sale at this same auction. Altogether, Auction.com has 2 properties scheduled for sale in Cook County and 2525 throughout Illinois. All properties and sale details can be found with a simple search at Auction.com. Create a free account to find similar properties, save your favorites and receive email alerts of upcoming auctions. To view the complete details of this property, click the ""Get Auction Details"" button above or paste the Property ID 2899104 into the search bar at Auction.com. ","$588,652 ","1,676 sqft",-87.59466,41.79488,4,2,1964," 1303 E 55th St Chicago, IL 60615 ",Chicago,IL,60615
" Exclusive Sans Souci Estates Home move-in ready. Foyer entrance with chandelier and spiral staircase leading to 3 upstairs bedrooms with 2 fully remodeled bathrooms, the top two with architecture akin to a belvedere. Nestled behind the staircase is a cozy formal living room and a half bath for guests. Up the short stairway to the family living area to the right is a recreation room with a pool table, to the left a formal dining area. The sunken family room provides spacious area for comfort. The master bedroom is large enough for a sitting area and panorama views of the waterway w/a custom double sided walk in closet. Laundry room with a full bathroom and designer kitchen completes the homes interior. Outside is a beautiful pool, patio, and dock awaiting your vessel to the open seas. ","$1,850,000 ","3,322 sqft",-80.158195,25.885002,3,3,1960," 1922 NE 119th Rd North Miami, FL 33181 ",North Miami,FL,33181
" Under construction & will be complete by 6/30/2020.Walk across to our other 4 completed listings to see how amazing this one will look(photos included here).Once complete Features Include:The stucco brick eclectic combo is just the beginning of a well-thought & beautifully crafted transitional interior.From the custom cabinetry & gorgeous quartz island in the kitchen,to the large windows that bring in amazing natural lighting,this house has it all including 12ft ceilings!It is pre-wired for alarm & surround sound, has high baseboards & sleek crown molding throughout,iron railing adorns the staircase,light fixtures were carefully selected to captivate the ambiance of this beauty, & the master suite was carefully designed to be a complete retreat! EVERY bedroom has its own bath & walk-in closet & the balcony off the second floor, just past your spacious kitchen awaits you for a morning cup of coffee!NO HOA FEES!!!!YOU MUST COME SEE THIS GORGEOUS HOUSE FOR YOURSELF. Call me for a showing! ","$475,000 ","2,633 sqft",-95.52397,29.810993,3,4,2018," 2120 Blalock Rd #D Houston, TX 77080 ",Houston,TX,77080
" Come fall in love with this spacious jewel located just minutes away from I-459 and I-59. Situated conveniently behind J.W. Christian school and minutes from Trussville shopping and dining. Home has undergone several updates in the last two years. New flooring on main level. New stainless appliances and beautiful counter tops in kitchen. Enjoy peaceful mornings on the new screened in deck off of kitchen. New Pella windows on main level. Four large bedrooms upstairs complete with two Jack and Jill style baths. Basement is equipped with its own bedroom, full bath, and kitchen area. This space would be perfect as a mother-in-law suite. The basement also features its own fireplace as well as large laundry room. Stair way to basement is currently equipped with stair lift that can be easily removed if desired. Newly completed circular driveway adds just the right amount of curb appeal and additional parking. New paint throughout main level. Plenty of room to add your own personal touches! ","$199,000 ","4,310 sqft",-86.6883,33.581314,5,3,1968," 724 Valley Dr Birmingham, AL 35206 ",Birmingham,AL,35206
" This cozy 2nd floor end unit (extra window) has Tile in the kitchen and nice carpet throughout, it is clean and ready to go!! Features include: open floor plan, bright & airy, private balcony, granite counter tops, refrigerator, washer/dryer all included. Amazing subdivision includes Pool, Spa, tennis courts and more* A MUST SEE*** HURRY THIS ONE WON'T LAST ","$128,000 ",908 sqft,-115.25341,36.177063,2,2,1987," 7200 Pirates Cove Rd #2048 Las Vegas, NV 89145 ",Las Vegas,NV,89145
" Don't settle to be close to Seattle. Multi-generational friendly home close to light rail, shopping, and I-5/405. Plenty of parking, including room for your RV or boat. 6 beds (both main/upper level) and 4.5 baths with upper deck view of valley and the Cascades. Brazilian cherry and marble floors complement the grand hall and luxury staircase that leads to the upper living quarters. No compromises necessary with this beautiful home and location! The seller has meticulously maint ","$909,000 ","3,618 sqft",-122.27502,47.47081,6,5,2007," 4616 S 148th St Tukwila, WA 98168 ",Tukwila,WA,98168
 Ready to go! Everything you need to move in and be functional in the home of your dreams right away. Three bedrooms all on the main level. Large kitchen and formal dining room. Back entrance has a direct doorway to the lower level with another bedroom and full bath and large family room. A very functional floorplan suitable for many different living styles. Lovely covered patio in the rear for wonderful summer gatherings. Very close to Social Security and CMMS. ,"$239,000 ","2,160 sqft",-76.73132,39.32954,4,2,1959," 6732 Wilmont Dr Baltimore, MD 21207 ",Baltimore,MD,21207
" This single-family home is located at 1240 SW 124th St, Burien, WA. 1240 SW 124th St is in the Mount View neighborhood in Burien, WA and in ZIP code 98146. It is currently for sale and has been listed on Trulia for 64 days. This property is listed for $1,600,000. This property has 4 bedrooms, 3 bathrooms and approximately 2,810 sqft of floor space. This property has a lot size of 0.86 acres and was built in 1943. ","$1,600,000 ","2,810 sqft",-122.35187,47.49251,4,3,1943," 1240 SW 124th St Burien, WA 98146 ",Burien,WA,98146
" Estate Sale being sold As-Is. Fantastic Southeast View! The unit may need some updating but nothing major. Enjoy Entertaining friends with a BBQ or watching Air Show on your own Private BALCONY! This is one of the larger 1 bedroom floor plans in the building. Laminate Cherry Hardwood Flooring, New HVAC, Bright & Sunny unit with tons of closets. Assessments include Heat, Air-Conditioning, Water, Cable TV, TIVO & some Premium Channels including Showtime, Internet & more. Luxury Amenity building: 24HR Doorman, Pool, Tennis, Huge Gym, Yoga Rm, Whirlpool & Sauna! Currently Remodeling Gym & Yoga Rm + new equipment! Will be Amazing! Solid reserves-$3.8M. Incredible Lincoln Park area directly across street from park. Close to Lakefront, Park, Jogging & Bike Paths, Zoo, Public Transportation, Restaurants, Shopping, Grocery, Nightlife & more. Indoor Attached Parking $200 month. ","$249,800 ","10,200 sqft",-87.63699,41.918804,1,1,1974," 2020 N Lincoln Park W #26H Chicago, IL 60614 ",Chicago,IL,60614
" Prominent English style home in heart of River Oaks. This 4 bedroom residence is situated on half an acre of beautiful grounds. The floor plan includes classic formals, large family room and cozy study that overlooks covered patio and pool with fountains, den with bar, master suite with 2 closets, home theatre, and a third floor flex space. Beautiful kitchen with stainless appliances, gorgeous hardwoods, Porte-cochere & gated motor court w/ 2 car garage w/pool bath & quarters above. ","$4,195,000 ","5,269 sqft",-95.434,29.751537,4,5,1941," 3609 Inwood Dr Houston, TX 77019 ",Houston,TX,77019
 Spacious Single story unit in great location. Appliances included. ,"$140,000 ","1,097 sqft",-115.13427,36.10506,3,2,1973," 1404 Santa Anita Dr #A Las Vegas, NV 89119 ",Las Vegas,NV,89119
" Do you like the idea of rural living with a mix of city life? This is a unique updated dairy barn and ""milk house"" on a plentiful .86 acre plot. The lush landscape boasts fruit trees, a fire pit, producing garden beds and Deer Creek running on rear side of property. Seller offers to include house plans with a full price offer, geo-tech & storm water assess. Buyer to complete due diligence with property, zoning & structure: its use & occupancy potential. Feel the wonders of nature & live in town! ","$225,000 ",475 sqft,-122.698654,45.4585,1,,1920," 2008 SW Taylors Ferry Rd Portland, OR 97219 ",Portland,OR,97219
" This condo is located at 8411 NW 8th St #409, Miami, FL. 8411 NW 8th St #409 is in Miami, FL and in ZIP code 33126. It is currently for sale and has been listed on Trulia for 5 days. This property is listed for $186,000. This property has 2 bedrooms, 2 bathrooms and approximately 1,099 sqft of floor space. This property was built in 1977. ","$186,000 ","1,099 sqft",-80.33362,25.779295,2,2,1977," 8411 NW 8th St #409 Miami, FL 33126 ",Miami,FL,33126
" Stunning Drees Home ideally located in the middle of the community and loaded with upgrades including an amazing backyard oasis complete with spacious covered patio, fireplace, yard and a brand new pool and spa! The interior features a modern, trendy and light color scheme w/ plenty of storage, natural light, incredible chefs kitchen, master down in addition to MIL suite and office. Upstairs are two additional bedrooms, flex space and media room. This home has it all!!! Lake Travis ISD!! ","$689,000 ","4,064 sqft",-98.028046,30.282701,4,5,2015," 16601 Leopold Trl Austin, TX 78738 ",Austin,TX,78738
" Single Family custom home in Boro-Park. Approx. 3,100 Sq Ft. Features marble everywhere, custom doors, custom hardware, custom kitchen, custom baths, private drive, custom skylights over 3 car parking. Too much to list! A must see! First Floor: 2 bedrooms, 1 full bath, 1 half bath, large entrance area. Second Floor: large living room, large kitchen, dining room, half bath. Lot: 20x95. Building: 20x80. Approx. Building Sq Ft: 3,100. Est. Annual Taxes: $10,275. Est. Annual Insurance: $3,000. Est. Annual Water/Sewer: $232. Est. Annual Fuel/Gas: $2,800. Zoning: R6. Approx. Year Built: 1908. Stories: 2. ","$1,599,000 ","3,100 sqft",-73.98617,40.639908,2,3,1915," 1317 40th St Brooklyn, NY 11218 ",Brooklyn,NY,11218
 2BR/1.5BA condo conveniently located off of Florida Blvd. Covered parking. Great opportunity for investor looking for inexpensive investment property. Being sold as a package with units 21 and 27. ,"$15,900 ","1,034 sqft",-91.06619,30.457212,2,2,," 10625 Florida Blvd #25 Baton Rouge, LA 70815 ",Baton Rouge,LA,70815
" beautiful townhome!! 3 bedroom & 2 full bath downstairs, assigned parking + guest gated community with pool and play area for children. close to turnpike and palmetto. ","$311,000 ","1,430 sqft",-80.45802,25.722292,3,2,2007," 16320 SW 44th Way #16320 Miami, FL 33185 ",Miami,FL,33185
" You will love this well cared for, sun filled ranch home! Inviting living room offers a gorgeous wood burning fireplace with custom, hand crafted mantle and surround. Bright eat in kitchen has new counters, sink & tile back splash. Newer stainless steel appliances. Newly refinished oak hardwood floors throughout just shine! Six panel doors, built in book shelf, recessed lighting, new fixtures & Nest thermostat are just a few of the many features! Freshly painted throughout. Lower level family room with ceramic floors and new ceiling offers plenty of options. Glorious outdoor entertaining space includes huge deck with built in seating and arbor. Big 2 car garage with 220 service. Great location close to bike path, bus, parks, lake, Garver Feed Mill & more! ","$229,900 ","1,117 sqft",-89.323586,43.097244,3,1,1955," 22 Schenk St Madison, WI 53714 ",Madison,WI,53714
" Enjoy the view of the Tower of Americas and the Alamodome from your own private deck or sit and enjoy coffee on your large front porch. This 3 bedroom, 2 bathroom renovated home is ready for entertaining with an open living area which boosts restored original wood ceilings. The kitchen features quartz countertops, open shelving and gas cooking. The master bedroom has outdoor access to the deck and features sliding barn doors to your private bathroom and large closet. Easy access to all of downtowns best. ","$310,000 ","1,507 sqft",-98.475426,29.42604,3,2,1926," 520 Dawson St San Antonio, TX 78202 ",San Antonio,TX,78202
" Gorgeous home on a private creek lot in Prestonwood. Updates include hand-scraped hardwood floors in main living areas, granite counters in kitchen and all baths, stainless steel appliances, gas cook top, replacement windows, updated bathrooms, walk in closet in master with built in chest, smooth finish walls, wet bar with wine cooler, ceiling treatment with wood beams, bead board ceiling in second living, vaulted or high ceilings in most rooms, an atrium to bring in more natural light, formal dining is currently being used as a study. Nice quiet neighborhood with walking and bike trails. A lovely place to call home. ","$395,000 ","2,147 sqft",-96.79832,32.95378,3,3,1983," 14930 Cypress Hills Dr Dallas, TX 75248 ",Dallas,TX,75248
" A stunning bold brick building, with the simplicity, privacy and rarefied authenticity found in a smaller boutique condo building is not for everyone -- just eight lucky owners. If the amenity you value most is a larger than life living space, 102 Huron Street is your address. The home boasts an enviable width of 25 feet, wider than most townhouses. If townhouse living is your vibe, but the spadework of renovations and maintenance does not appeal to you, trade in your work gloves for an easy chair. Embrace the finer aspects of condo ownership, but with the privacy of townhouse lifestyle. The facade of the building is almost all windows. The home features wall to wall picture windows, overlooking the tree lined street. It has an impressive Great Room, with an open floor plan kitchen and living room. With big apartments come big expectations -- high ceilings, lavishly appointed fixtures and appliances. Wolf, Viking, Duravit are at home here. All top shelf make and models. And the ceilings as lofty as your aspirations. Entertain your friends creating meals on your 36"" Wolf Gas Range achieving restaurant results consistently in your kitchen. A superior refrigeration solution by Zub-Zero will keep your Prosecco and cheese at just the right temperature. Greenpoint, located on the Northernmost part of Brooklyn, is the one neighborhood that captures the essence of what the world sees as Brooklyn. Once known only for its industrial refineries and factories, it has since developed an impressive and well deserved reputation as one of New York Citys hippest hot spots. Whether it is the restaurants or the coffee spots filled with people hard at work, Greenpoint is a destination for the the world to enjoy. The history, music and art scene all wrapped around a warm and quiet community. Access to the G trains on Greenpoint Avenue,and the India Street Ferry Landing. ","$1,680,000 ","1,430 sqft",-73.95742,40.73256,2,2,1901," 102 Huron St #2B Brooklyn, NY 11222 ",Brooklyn,NY,11222
 Beautiful cozy 2 bedroom house in the booming Southwest area! Upgraded tile flooring downstairs! Upgraded cabinetry and an island with room for stools in the kitchen! Large master bedroom with an oversized walk in closet and a balcony! Loft area upstairs. Truly a MUST SEE! Available to both owner occupants AND investors! ,"$239,900 ","1,266 sqft",-115.28421,36.056778,2,2,2004," 7227 Freedom Ring St Las Vegas, NV 89148 ",Las Vegas,NV,89148
 This home is a GEM! Located 15 min from downtown on an acre corner lot! FULL REMODEL from the ground up! This spacious 4 bedroom 3.5 bath has a Large master suite and giant bonus/entertainment room with a wet bar. Dine next to the fire or spend an evening outside on the patio with your friends around a fire pit in this quiet neighborhood. You will be able to find all life's needs and essentials within a mile of this excellently located property! ,"$1,020,000 ","3,980 sqft",-86.87876,36.13401,4,4,1953," 823 Summerly Dr Nashville, TN 37209 ",Nashville,TN,37209
" This spacious 1 story home features: 3 bedrooms, 2 full baths, living room/dining room combo, breakfast area, family room with fireplace and don't forget '' REFRIGERATED AIR''! Ceiling fans in living room, family room and master bedroom. Master bath with double sink, tub and separate shower. This home is ''MOVE IN READY''! ","$180,000 ","2,026 sqft",-106.22434,31.787916,3,2,2010," 14304 Navajo Point Dr El Paso, TX 79938 ",El Paso,TX,79938
" 2603 exceptional views, best floor plan and great finishes from this 1946 sf bay front unit. 2bedrooms 2 and half bath, 20 foot high walls with amazing views of downtown Miami and the beaches. 2 walk in closets in the master bedroom and European finishes.. Lowest Price loft in the building. AMAZING VIEWS FROM 2/2.5 LOFT. SUB-ZERO, BOSCH AND MIELE APPLIANCES. COMBINATION OF WOOD AND WHITE MARBLE FLOORS IN LIVING ROOM. MASTER HAS SOLID WOOD FLOORS. SEPARATE WASHER AND DRYER AND A WHOLE SEPARATE SECOND BEDROOM. 20SF CLINIQUE LA PRAiRIE SPA, FIVE SWIMMING POOLS, GYM AND YOGA CENTER. Ten Museum is one of the premier boutique buildings in Downtown Miami ","$700,000 ","1,794 sqft",-80.19018,25.78467,2,3,2007," 1040 Biscayne Blvd #2603 Miami, FL 33132 ",Miami,FL,33132
" The Kinley is a five bedroom, three bath home featuring a formal dining room with tray ceiling, study with French doors and a coffered ceiling, first floor guest suite with full bath, Great Room with gas fireplace, gourmet kitchen with oversized island, walk-in pantry, and convenient drop zone area, right off the garage. The upstairs features an incredible owner's suite with luxurious bath and oversized, dual walk-in closets, game room, separate loft, and three additional bedrooms, two of which share a Jack-and-Jill bath. Options to personalize your home include a covered or screened rear porch, with options to extend the length of the porch, an additional bathroom upstairs, a game room bath and a separate owner's retreat in lieu of the loft. ","$523,425 ","3,803 sqft",-81.043236,35.065968,4,3,," 15108 Montage Ln Charlotte, NC 28278 ",Charlotte,NC,28278
" Large 2 Bedroom Apartment With Living Room +Dining Room Area. About 850 Sq Ft . Bright And Sunny Corner Unit, Convenient To Transportation , School, Shopping. ","$275,000 ",850 sqft,-73.87901,40.75713,2,1,1952," 3242 89th St #C404 East Elmhurst, NY 11369 ",East Elmhurst,NY,11369
" Resort-Style living here in Sun City Summerlin. Home is close to two of the four Community Centers.Indoor and Outdoor Pools and Spas. 50+ Clubs, Theater Entertainment, and close to downtown Summerlin and three Casinos. This is a well-maintained home, with lots of charm ! Newer AC and Heater. Don't Miss it ! ","$334,900 ","1,613 sqft",-115.280075,36.215687,2,2,1989," 8513 Spyrun Dr Las Vegas, NV 89134 ",Las Vegas,NV,89134
" Beautiful single story home on a corner lot with plenty of space for all to enjoy. Conveniently located near shopping, schools and many other great amenities. Centrally located near the Reno Airport, and close access to the freeway. Clean and move in ready! ","$309,900 ","1,069 sqft",-119.79021,39.517223,3,1,1955," 1440 E Taylor St Reno, NV 89502 ",Reno,NV,89502
 this property has 3 bedrooms 1.75 bath (as per property profile it is a 2 bed 1 full bath) back yard and a small front yard long drive way for about 4 cards zoned r2 ,"$390,000 ","1,034 sqft",-118.25133,33.956833,2,1,1925," 8814 Zamora Ave Los Angeles, CA 90002 ",Los Angeles,CA,90002
" 1920's restored craftsman home with classic charm. Home features 3 Bedrooms, 2 full baths. Open floor plan with hardwood floors and gourmet kitchen, stainless steel appliances, gas stove. Master Bedroom features a walk in closet with custom closet system. Utility room off Kitchen includes washer and dryer. Nice fenced in yard, deck, patio and shed. Home also features full Attic. Large front porch with ceiling fans for hot summer nights. Off street parking for 2 cars, just 2 blocks to the Beach, golf course, parks, 5 minutes to NOB, 10 minutes to JEB Little Creek, Dining and grocery shopping just 2 blocks away. Oh, and do not forget to have your friends over to enjoy the EPIC Annual St. Patrick's Day Parade. ","$279,500 ","1,400 sqft",-76.256615,36.95279,3,2,1920," 9526 1st View St Norfolk, VA 23503 ",Norfolk,VA,23503
 Cozy home with ton of Exterior and Interior work needed. Property is NOT vacant. It is occupied! ,"$50,000 ",,-74.23278,40.750336,2,1,1960," 40 Lanark Ave Newark, NJ 07106 ",Newark,NJ,7106
" Investor/ Handyman Special **Cash Buyers Only** 1472 Longfellow St. Detroit Michigan, 48206 * Potential Investor Profit of $130,500* (Single family) 5bed / 2 bath &gt;3,500sqft Sits on a 6,098 square foot lot 2 Car Garage ARV: $437,500 Repair: est. $60K-$80k Potential Investor Profit of $130,500 Asking: $230,000 OBO If you want to see the property please let me know by call or text show contact info Thank you, Ethan. **Cash Buyers Only** *No Wholesalers/ JV Deals* ","$230,000 ","3,500 sqft",-83.09685,42.380833,5,2,1920," 1472 Longfellow St Detroit, MI 48206 ",Detroit,MI,48206
" Situated in the historic landmark of Hamilton Heights, across from the Hamilton Grange, Alexander Hamilton's former country home now in St. Nicholas Park, offered is a market rate, legal 4 family brownstone having a 4 family certificate of occupancy and 4 one bedroom floor-through apartments plus a full cellar. Each unit possesses a south, park facing living room, high ceilings and hardwood floors. The top floor apartment boasts an additional room for a home office; moreover, there is common access to the large rear yard for all occupants to enjoy where you'll find an apple tree. Rents include heat & hot water. New plumbing, electric, boiler and windows installed in 2004.Located directly across from St. Nicholas Park having a dog run and one block from City College (CUNY). In close proximity to Jackie Robinson Park & Riverbank State Park both equipped with swimming pools. A short walk to the B & C subway lines on St. Nicholas Ave & 135th Street (with an entrance on West 137th St), the #1 train on Broadway & 137th Street, the A,B, C and D trains on West 145th Street & St. Nicholas Ave, Harlem Hospital, the Schomburg Center, the Harlem YMCA, New York Sports Club as well as cafes, restaurants, supermarkets and an array of services along Amsterdam Ave., Broadway and West 145th Street. ","$1,750,000 ","3,264 sqft",-73.94668,40.821762,4,4,1899," 417 W 141st St New York, NY 10031 ",New York,NY,10031
" This 4-story townhome offers an urban lifestyle with easy access to downtown and I-25. Hardwood floors throughout entry, main & second levels. Lower level includes a study or exercise room, half bath & access to two-car garage. Modern kitchen features white cabinets, stainless appliances & gracious Quartz island with pendant lighting & bar seating. Kitchen includes a Bosch stainless steel appliance suite. Large living area boasts a contemporary electric fireplace & sliding glass doors with access to south-facing deck. Large master bedroom with wood accent wall includes a spa-like 5-piece master bath & walk-in closet. Second bedroom with en-suite three-quarter bath. Full Size washer & dryer conveniently located on the bedroom level. Incredible rooftop deck with stunning, panoramic city & mountain views. Rooftop deck has a gas line for a fire pit. Jefferson Park offers easy access to other amenities in the neighboring communities of Highlands, Sloans Lake, Platt Street & Lower Downtown. ","$650,000 ","1,639 sqft",-105.02013,39.752052,2,4,2014," 2622 W 24th Ave #12 Denver, CO 80211 ",Denver,CO,80211
" Stunning FIVE bedroom multi-gen home in the heart of Silverado Ranch! Showstopping, vaulted entry offers endless natural light while the UV tinted windows maintain privacy & temperature. Entertaining is a breeze with a spacious, gorgeous chef's kitchen - oversized island, stainless steel appliances, sleek, white cabinetry, and breakfast nook - overlooking the family room & well-maintained Northern exposure yard with lush grass & mature landscape! ","$429,900 ","3,136 sqft",-115.14844,35.997463,5,3,2004," 680 Hidden Cellar Ct Las Vegas, NV 89183 ",Las Vegas,NV,89183
" Contemporary Ranch home in prestigious CREST MEADOW ESTATES. This spacious home features a wonderful entertaining area of 2 living rooms and large dining room. The kitchen and breakfast rooms showcase an abundance of counter and cabinet space with double ovens, electric cook top and 2 pantries. The spacious master suite with a large window overlooking side yard offers 2 walk in closets, tub and separate shower. The bedroom wing includes 2 bedrooms with a jack and jill bath and another bedroom currently used as an office. The oversized den with a wall of bookcases is perfect for the entertaining lifestyle. Great property for your buyer to update to their tastes.Close to schools, minutes to shopping and highways. ","$550,000 ","3,108 sqft",-96.779884,32.888397,4,4,1971," 7331 Meadow Oaks Dr Dallas, TX 75230 ",Dallas,TX,75230
" Beautiful townhome located in Cobblestone Lake neighborhood. This home features 3 bedrooms laundry all on 1 level, 4 bathrooms, stainless steel appliances, Cambria countertops, newer high end Moen faucets, jetted garden bath, and cozy fireplace. No pets or kids, you won't find a nicer/cleaner place in the neighborhood. ","$299,900 ","2,036 sqft",-93.16547,44.723625,3,4,2007," 15644 Cobblestone Lake Pkwy #1102 Apple Valley, MN 55124 ",Apple Valley,MN,55124
 Please contact our office for submission process and details ,"$195,000 ","1,503 sqft",-95.61434,29.707987,3,3,2001," 6522 Garden Trail Ct Houston, TX 77072 ",Houston,TX,77072
